Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Staphylococcus virus X2;Phietavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Enterococcus virus FL1;Phifelvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Enterococcus virus FL2;Phifelvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Enterococcus virus FL3;Phifelvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactobacillus virus ATCC8014;Phijl1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactobacillus virus phiJL1;Phijl1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pediococcus virus cIP1;Phijl1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Aeromonas virus pIS4A;Pis4avirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Listeria virus LP302;Psavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Listeria virus PSA;Psavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Methanobacterium virus psiM1;Psimunavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Roseobacter virus RDJL1;Rdjlvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Roseobacter virus RDJL2;Rdjlvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Rhodococcus virus RER2;Rer2virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Enterococcus virus BC611;Sap6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Enterococcus virus IMEEF1;Sap6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Enterococcus virus SAP6;Sap6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Enterococcus virus VD13;Sap6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus SPQS1;Sap6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Papyrus;Send513virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Send513;Send513virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Burkholderia virus KL1;Septima3virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus 73;Septima3virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus Ab26;Septima3virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Pseudomonas virus Kakheti25;Septima3virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus Cajan;Seuratvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus Seurat;Seuratvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus SEP9;Sextaecvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Staphylococcus virus Sextaec;Sextaecvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus 858;Sfi11virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus 2972;Sfi11virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus ALQ132;Sfi11virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus O1205;Sfi11virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus Sfi11;Sfi11virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus 7201;Sfi21dt1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus DT1;Sfi21dt1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus phiAbc2;Sfi21dt1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus Sfi19;Sfi21dt1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Streptococcus virus Sfi21;Sfi21dt1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Paenibacillus virus Diva;Sitaravirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Paenibacillus virus Hb10c2;Sitaravirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Paenibacillus virus Rani;Sitaravirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Paenibacillus virus Shelly;Sitaravirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Paenibacillus virus Sitara;Sitaravirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Paenibacillus virus Willow;Sitaravirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus 712;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus ASCC191;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus ASCC273;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus ASCC281;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus ASCC465;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus ASCC532;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus Bibb29;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus bIL170;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus CB13;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus CB14;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus CB19;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus CB20;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus jj50;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus P2;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus P008;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus sk1;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Lactococcus virus Sl4;Sk1virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus Slash;Slashvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus Stahl;Slashvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus Staley;Slashvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus Stills;Slashvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus Bachita;Smoothievirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus ClubL;Smoothievirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus OneUp;Smoothievirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus Smoothie;Smoothievirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Gordonia virus Soups;Soupsvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Bacillus virus SPbeta;Spbetavirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Vibrio virus MAR10;Ssp2virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Vibrio virus SSP002;Ssp2virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus AKFV33;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus BF23;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus DT57C;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus EPS7;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus FFH1;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus H8;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus slur09;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Escherichia virus T5;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Salmonella virus 118970sal2;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Salmonella virus Shivani;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Salmonella virus SPC35;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Salmonella virus Stitch;T5virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Arthrobacter virus Tank;Tankvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Tsukamurella virus TIN2;Tin2virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Tsukamurella virus TIN3;Tin2virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Tsukamurella virus TIN4;Tin2virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Rhodobacter virus RcSpartan;Titanvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Rhodobacter virus RcTitan;Titanvirus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Anaya;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Mycobacterium virus Angelica;Tm4virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
